iter	Passed	Remaining
727	37697	14084
728	37757	14036
729	37809	13984
730	37865	13934
731	37912	13880
732	37959	13827
733	38021	13779
734	38099	13736
735	38145	13682
736	38202	13632
737	38254	13580
738	38309	13530
739	38365	13479
740	38420	13429
741	38470	13376
742	38521	13324
743	38569	13271
744	38617	13218
745	38670	13166
746	38731	13117
747	38783	13066
748	38838	13015
749	38890	12963
750	38943	12912
751	39004	12863
752	39056	12811
753	39116	12762
754	39175	12712
755	39226	12660
756	39282	12609
757	39335	12558
758	39394	12508
759	39464	12462
760	39515	12410
761	39564	12357
762	39610	12303
763	39654	12249
764	39699	12195
765	39756	12144
766	39805	12092
767	39881	12047
768	39928	11994
769	39977	11941
770	40038	11892
771	40090	11840
772	40135	11786
773	40178	11731
774	40221	11677
775	40273	11625
776	40322	11572
777	40378	11521
778	40427	11469
779	40473	11415
780	40533	11365
781	40582	11313
782	40630	11260
783	40672	11205
784	40719	11152
785	40766	11099
786	40818	11047
787	40866	10994
788	40923	10944
789	40969	10890
790	41013	10836
791	41065	10784
792	41123	10734
793	41177	10683
794	41227	10630
795	41275	10578
796	41327	10526
797	41373	10472
798	41428	10421
799	41500	10375
800	41557	10324
801	41605	10271
802	41659	10220
803	41702	10166
804	41757	10115
805	41828	10068
806	41880	10016
807	41933	9964
808	42008	9917
809	42051	9863
810	42101	9811
811	42158	9760
812	42206	9708
813	42283	9661
814	42348	9612
815	42401	9561
816	42448	9507
817	42491	9454
818	42546	9402
819	42611	9353
820	42663	9301
821	42710	9248
822	42757	9195
823	42838	9149
824	42896	9099
825	42948	9047
826	43009	8997
827	43065	8946
828	43125	8895
829	43179	8843
830	43249	8795
831	43308	8744
832	43375	8695
833	43466	8651
834	43526	8601
835	43585	8550
836	43664	8503
837	43729	8453
838	43787	8402
839	43853	8353
840	43914	8302
841	43977	8252
842	44054	8204
843	44150	8160
844	44229	8113
845	44302	8064
846	44351	8011
847	44406	7959
848	44462	7907
849	44509	7854
850	44559	7801
851	44604	7748
852	44662	7696
853	44713	7644
854	44765	7591
855	44831	7541
856	44890	7490
857	44951	7439
858	45025	7390
859	45118	7344
860	45178	7293
861	45244	7243
862	45297	7190
863	45355	7139
864	45411	7087
865	45486	7038
866	45568	6990
867	45633	6939
868	45701	6889
869	45770	6839
870	45833	6788
871	45895	6736
872	45939	6683
873	45990	6630
874	46073	6581
875	46142	6531
876	46222	6482
877	46293	6432
878	46387	6385
879	46454	6334
880	46515	6282
881	46592	6233
882	46685	6185
883	46749	6134
884	46805	6082
885	46874	6031
886	46917	5977
887	46979	5925
888	47029	5872
889	47082	5819
890	47163	5769
891	47242	5719
892	47321	5670
893	47395	5619
894	47471	5569
895	47535	5517
896	47593	5465
897	47651	5412
898	47704	5359
899	47752	5305
900	47821	5254
901	47903	5204
902	47965	5152
903	48029	5100
904	48090	5048
905	48138	4994
906	48197	4941
907	48260	4889
908	48313	4836
909	48365	4783
910	48436	4732
911	48497	4679
912	48569	4628
913	48634	4576
914	48696	4523
915	48751	4470
916	48810	4417
917	48868	4365
918	48929	4312
919	49029	4263
920	49115	4212
921	49163	4159
922	49218	4105
923	49272	4052
924	49330	3999
925	49399	3947
926	49493	3897
927	49560	3845
928	49620	3792
929	49704	3741
930	49766	3688
931	49827	3635
932	49938	3586
933	50041	3536
934	50130	3484
935	50188	3431
936	50261	3379
937	50324	3326
938	50397	3273
939	50468	3221
940	50552	3169
941	50626	3117
942	50713	3065
943	50775	3012
944	50823	2957
945	50871	2903
946	50922	2849
947	50981	2796
948	51048	2743
949	51114	2690
950	51174	2636
951	51232	2583
952	51298	2529
953	51362	2476
954	51435	2423
955	51513	2370
956	51603	2318
957	51660	2264
958	51712	2210
959	51766	2156
960	51821	2103
961	51910	2050
962	51974	1996
963	52039	1943
964	52106	1889
965	52182	1836
966	52245	1782
967	52297	1728
968	52347	1674
969	52411	1620
970	52488	1567
971	52564	1514
972	52635	1460
973	52695	1406
974	52768	1353
975	52828	1299
976	52897	1245
977	52935	1190
978	52994	1136
979	53059	1082
980	53132	1029
981	53210	975
982	53270	921
983	53329	867
984	53407	813
985	53457	759
986	53524	704
987	53610	651
988	53696	597
989	53773	543
990	53859	489
991	53940	435
992	54016	380
993	54073	326
994	54120	271
995	54193	217
996	54244	163
997	54292	108
998	54365	54
999	54418	0
